subset,model,target,feature,mean_abs_shap,category,rank
FD004,CatBoost,RUL_capped,cycle_log1p,5.277030045901946,cycle_observable,1
FD004,CatBoost,RUL_capped,cycle_sqrt,4.030536481999799,cycle_observable,2
FD004,CatBoost,RUL_capped,sensor_11_roll20_max,3.9121362219516267,rolling_max,3
FD004,CatBoost,RUL_capped,sensor_13_roll20_max,3.4443812973538255,rolling_max,4
FD004,CatBoost,RUL_capped,sensor_13_roll10_max,3.2516285718626894,rolling_max,5
FD004,CatBoost,RUL_capped,sensor_13_roll20_range,2.839166646404432,rolling_range,6
FD004,CatBoost,RUL_capped,sensor_13_roll5_max,2.211825691797551,rolling_max,7
FD004,CatBoost,RUL_capped,sensor_4_roll20_max,1.007296846037749,rolling_max,8
FD004,CatBoost,RUL_capped,sensor_6_roll20_max,0.8899312884587645,rolling_max,9
FD004,CatBoost,RUL_capped,sensor_14_roll20_max,0.7762568299560244,rolling_max,10
FD004,CatBoost,RUL_capped,sensor_15_roll20_max,0.7592012360932405,rolling_max,11
FD004,CatBoost,RUL_capped,sensor_11_roll20_min,0.7035697777440981,rolling_min,12
FD004,CatBoost,RUL_capped,sensor_8_roll20_max,0.6694175472492241,rolling_max,13
FD004,CatBoost,RUL_capped,sensor_11_roll10_max,0.6597078630124168,rolling_max,14
FD004,CatBoost,RUL_capped,sensor_15_roll20_min,0.6578147247206876,rolling_min,15
FD004,CatBoost,RUL_capped,sensor_9_roll20_min,0.5855763808697794,rolling_min,16
FD004,CatBoost,RUL_capped,sensor_12_roll20_range,0.5733503793619317,rolling_range,17
FD004,CatBoost,RUL_capped,sensor_9_roll20_range,0.5141597107021927,rolling_range,18
FD004,CatBoost,RUL_capped,sensor_6_roll20_min,0.48455935179837223,rolling_min,19
FD004,CatBoost,RUL_capped,sensor_15_roll10_max,0.4436242974938287,rolling_max,20
FD004,CatBoost,RUL_capped,sensor_6_roll10_max,0.42573259610621855,rolling_max,21
FD004,CatBoost,RUL_capped,sensor_17_roll20_max,0.39356291386662423,rolling_max,22
FD004,CatBoost,RUL_capped,sensor_6_roll20_range,0.39136248904956666,rolling_range,23
FD004,CatBoost,RUL_capped,sensor_12_roll20_max,0.36579817777861506,rolling_max,24
FD004,CatBoost,RUL_capped,sensor_14_roll10_max,0.34026112417691295,rolling_max,25
